********************************************************************************
Field Output Report, written Tue Mar 25 17:58:42 2025

Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Increment      0: Base State

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
              73     435.939E-18    -299.550E-18        -1.01680
              74    -188.496E-18    -979.323E-18        -2.59523
              75    -1.63318E-15    -909.944E-18        -1.95449
              76    -2.00191E-15    -1.90581E-15        -21.2728
              77    -2.04917E-15    -1.14397E-15        -13.7083
              78    -695.829E-18    -1.80635E-15        -6.77222
              79     1.28752E-15    -958.008E-18        -5.31580
              80    -1.58765E-15    -790.872E-18        -11.3843
              81    -897.337E-18    -178.714E-18        -1.09722
              82    -907.136E-18    -1.43922E-15        -6.69859
              83    -1.50416E-15    -3.71138E-15        -14.2537
              84     569.796E-18    -1.00885E-15        -4.19513
              85     746.203E-18    -1.08546E-15        -5.43020
              86     451.628E-18    -1.36493E-15        -7.08846
              87     2.39779E-15     1.06036E-15        -8.98749


Field Output reported at nodes for part: ASSEMBLY

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.


Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Mode         2: Value =  6.50507E+05 Freq =   128.36     (cycles/time)

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1              0.              0.              0.
               2              0.              0.              0.
               3              0.              0.              0.
               4              0.              0.              0.
               5              0.              0.              0.
               6              0.              0.              0.
               7              0.              0.              0.
               8              0.              0.              0.
               9              0.              0.              0.
              10              0.              0.              0.
              11              0.              0.              0.
              12              0.              0.              0.
              13              0.              0.              0.
              14              0.              0.              0.
              15              0.              0.              0.
              16              0.              0.              0.
              17     222.667E-18     72.8849E-18        -1.53559
              18    -677.567E-18     1.82686E-15     974.700E-03
              19     1.44179E-15    -2.96590E-15        -1.38046
              20    -3.04020E-15    -1.83253E-15         1.21882
              21     10.2603E-15    -253.342E-18         1.86910
              22     11.2513E-15     276.747E-18     995.697E-03
              23    -16.8458E-15    -1.76688E-15        -44.3637
              24    -587.115E-18     630.207E-18        -44.9347
              25    -3.92474E-15     12.2610E-15         11.9190
              26     767.094E-18     1.28850E-15         12.8227
              27     19.1513E-15     7.25144E-15         33.3881
              28     12.4741E-15     990.891E-18         33.3828
              29    -1.72594E-15    -1.98437E-15        -22.4712
              30    -4.24226E-15    -1.74305E-15        -7.32486
              31     9.54790E-15    -194.413E-18         10.2300
              32    -150.571E-18     9.03646E-15         17.9491
              33     4.19452E-15     9.90586E-15         20.5698
              34     5.88609E-15     4.77185E-15         9.49226
              35    -8.19734E-15    -2.75846E-15        -24.1160
              36    -9.41563E-15    -4.01721E-15        -27.4713
              37    -3.98350E-15     6.40324E-15         11.5862
              38     691.457E-18    -764.043E-18        -8.09317
              39     3.79823E-15     183.177E-18        -1.75196
              40     77.9124E-18     25.5336E-18        -3.35038
              41    -1.84896E-15    -2.56857E-15        -26.2334
              42     4.14530E-15    -12.9472E-18     442.269E-03
              43     1.18765E-15     38.0406E-18     21.3155E-03
